File,RNR,Role,GeneticNK,FosterNK,CaptureDate,Treatment,Pair,Library,Mol_sex,Age,Category
BD_30649_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30649,Chick,WH.0710.0,WH.0710.0,2018-05-22,Enlarged,147_710,B2,Male,Nestling,Nest B Stayed
BD_83364_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83364,Chick,WH.0016.0,WH.0016.0,2018-05-20,Control,16_36,B2,Male,Nestling,Nest A Stayed
BD_83366_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83366,Chick,WH.0016.0,WH.0016.0,2018-05-20,Control,16_36,B2,Male,Nestling,Nest A Stayed
BD_30658_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30658,Chick,WH.0036.0,WH.0016.0,2018-05-20,Control,16_36,B2,Male,Nestling,Nest B Cross-fostered
BD_30659_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30659,Chick,WH.0036.0,WH.0016.0,2018-05-20,Control,16_36,B2,Male,Nestling,Nest B Cross-fostered
BD_83139_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83139,Chick,WH.0016.0,WH.0036.0,2018-05-20,Control,16_36,B2,Female,Nestling,Nest A Cross-fostered
BD_83367_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83367,Chick,WH.0036.0,WH.0036.0,2018-05-20,Control,16_36,B2,Female,Nestling,Nest B Stayed
BD_83369_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83369,Chick,WH.0036.0,WH.0036.0,2018-05-20,Control,16_36,B2,Male,Nestling,Nest B Stayed
BD_83752_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83752,Chick,WH.0036.0,WH.0036.0,2018-05-20,Control,16_36,B2,Male,Nestling,Nest B Stayed
BD_83134_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83134,Chick,WH.0109.0,WH.0109.0,2018-05-18,Reduced,109_175,B3,Male,Nestling,Nest A Stayed
BD_83135_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83135,Chick,WH.0109.0,WH.0109.0,2018-05-18,Reduced,109_175,B3,Female,Nestling,Nest A Stayed
BD_83138_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83138,Chick,WH.0109.0,WH.0109.0,2018-05-18,Reduced,109_175,B3,Female,Nestling,Nest A Stayed
