RNR	BroodofOrigin	BroodofRearing	CF_pair	Age	Treatment
BD_83368	WH.0036.0	WH.0036.0	16_36	14	Control
BD_83367	WH.0036.0	WH.0036.0	16_36	14	Control
BD_83366	WH.0016.0	WH.0016.0	16_36	14	Control
BD_83365	WH.0016.0	WH.0016.0	16_36	14	Control
BD_83364	WH.0016.0	WH.0016.0	16_36	14	Control
BD_83363	WH.0016.0	WH.0016.0	16_36	14	Control
BD_83141	WH.0036.0	WH.0036.0	16_36	14	Control
BD_83140	WH.0016.0	WH.0036.0	16_36	14	Control
BD_83139	WH.0016.0	WH.0036.0	16_36	14	Control
BD_30662	WH.0016.0	WH.0016.0	16_36	14	Control
BD_30661	WH.0016.0	WH.0016.0	16_36	14	Control
BD_30660	WH.0016.0	WH.0016.0	16_36	14	Control
BD_30659	WH.0036.0	WH.0016.0	16_36	14	Control
BD_30658	WH.0036.0	WH.0016.0	16_36	14	Control
18WHDC0817	WH.0036.0	WH.0036.0	16_36	14	Control
BD_83170	WH.0046.0	WH.0017.0	17_46	14	Control
BD_83169	WH.0017.0	WH.0017.0	17_46	14	Control
BD_83168	WH.0017.0	WH.0017.0	17_46	14	Control
BD_83167	WH.0046.0	WH.0017.0	17_46	14	Control
BD_83166	WH.0017.0	WH.0017.0	17_46	14	Control
BD_83165	WH.0046.0	WH.0017.0	17_46	14	Control
BD_83164	WH.0046.0	WH.0046.0	17_46	14	Control
BD_83163	WH.0046.0	WH.0046.0	17_46	14	Control
BD_83162	WH.0017.0	WH.0046.0	17_46	14	Control
BD_83161	WH.0046.0	WH.0046.0	17_46	14	Control
BD_83160	WH.0046.0	WH.0046.0	17_46	14	Control
BD_83159	WH.0017.0	WH.0046.0	17_46	14	Control
BD_83147	WH.0017.0	WH.0046.0	17_46	14	Control
BD_83146	WH.0046.0	WH.0046.0	17_46	14	Control
BD_30612	WH.0180.0	BL.0314.0	180_314	14	Enlarged
BD_30609	WH.0180.0	BL.0314.0	180_314	14	Enlarged
BD_30608	WH.0180.0	BL.0314.0	180_314	14	Enlarged
BD_30606	WH.0180.0	BL.0314.0	180_314	14	Enlarged
BD_30696	WH.0029.0	WH.0065.0	29_65	14	Control
BD_30695	WH.0029.0	WH.0065.0	29_65	14	Control
BD_30694	WH.0029.0	WH.0065.0	29_65	14	Control
BD_30693	WH.0029.0	WH.0065.0	29_65	14	Control
BD_30692	WH.0065.0	WH.0065.0	29_65	14	Control
BD_30691	WH.0065.0	WH.0065.0	29_65	14	Control
BD_30690	WH.0065.0	WH.0065.0	29_65	14	Control
BD_30689	WH.0065.0	WH.0065.0	29_65	14	Control
BD_30688	WH.0029.0	WH.0029.0	29_65	14	Control
BD_30686	WH.0065.0	WH.0029.0	29_65	14	Control
BD_30685	WH.0065.0	WH.0029.0	29_65	14	Control
BD_30683	WH.0029.0	WH.0029.0	29_65	14	Control
BD_30681	WH.0029.0	WH.0029.0	29_65	14	Control
BD_30679	WH.0029.0	WH.0029.0	29_65	14	Control
BD_83015	WH.0003.0	WH.0003.0	3_335	14	Control
BD_83014	WH.0003.0	WH.0003.0	3_335	14	Control
BD_83013	WH.0003.0	WH.0003.0	3_335	14	Control
BD_83012	BL.0335.0	WH.0003.0	3_335	14	Control
BD_83011	BL.0335.0	WH.0003.0	3_335	14	Control
BD_83010	BL.0335.0	WH.0003.0	3_335	14	Control
BD_83009	WH.0003.0	WH.0003.0	3_335	14	Control
BD_83008	BL.0335.0	WH.0003.0	3_335	14	Control
BD_83716	WH.0062.0	WH.0062.0	31_62	14	Control
BD_83715	WH.0062.0	WH.0062.0	31_62	14	Control
BD_83714	WH.0062.0	WH.0062.0	31_62	14	Control
BD_83713	WH.0062.0	WH.0062.0	31_62	14	Control
BD_83379	WH.0031.0	WH.0031.0	31_62	14	Control
BD_83378	WH.0062.0	WH.0031.0	31_62	14	Control
BD_83377	WH.0031.0	WH.0031.0	31_62	14	Control
BD_83376	WH.0031.0	WH.0031.0	31_62	14	Control
BD_83375	WH.0031.0	WH.0031.0	31_62	14	Control
BD_83374	WH.0031.0	WH.0031.0	31_62	14	Control
BD_83373	WH.0062.0	WH.0031.0	31_62	14	Control
BD_83372	WH.0062.0	WH.0031.0	31_62	14	Control
BD_83371	WH.0062.0	WH.0031.0	31_62	14	Control
BD_83370	WH.0031.0	WH.0031.0	31_62	14	Control
BD_83357	WH.0062.0	WH.0062.0	31_62	14	Control
BD_83356	WH.0031.0	WH.0062.0	31_62	14	Control
BD_83355	WH.0031.0	WH.0062.0	31_62	14	Control
BD_83354	WH.0031.0	WH.0062.0	31_62	14	Control
BD_83353	WH.0031.0	WH.0062.0	31_62	14	Control
BD_83133	WH.0720.0	WH.0720.0	327_720	13	Enlarged
BD_83132	WH.0720.0	WH.0720.0	327_720	13	Enlarged
BD_83129	WH.0720.0	WH.0720.0	327_720	13	Enlarged
BD_83127	WH.0720.0	WH.0720.0	327_720	13	Enlarged
BD_83125	WH.0720.0	WH.0720.0	327_720	13	Enlarged
BD_83131	BL.0327.0	WH.0720.0	327_720	14	Enlarged
BD_83130	BL.0327.0	WH.0720.0	327_720	14	Enlarged
BD_83128	BL.0327.0	WH.0720.0	327_720	14	Enlarged
BD_83126	BL.0327.0	WH.0720.0	327_720	14	Enlarged
BD_83124	BL.0327.0	WH.0720.0	327_720	14	Enlarged
